日期	每日涨停数	每日交易量（万亿）	上涨比率	最高连板	最高板
11/8	122	1.2	30.6	24	双城药业
11/11	158	3.4	20.5	2	双城药业
11/12	83	4.4	27.4	6	大千生态
11/13	66	5.4	47.6	5	大千生态
11/14	33	6.4	8.4	5	大千生态
11/15	66	7.4	15.3	9	大千生态
11/18	85	1.79	20.5	10	大千生态
11/19	94	1.3	87.2	11	大千生态
11/20	151	1.6	84.7	12	大千生态
11/21	105	1.65	45.7	13	大千生态
