2025年6月30日,97.0,1.49,75.04,14.0,5.0,6.0,弘业期货-大东南,5.0,4.0,84.0,78.0,15.0,
2025年6月27日,64.0,1.54,62.55,9.0,4.0,19.0,弘业期货-大东南,5.0,3.0,68.0,54.0,26.0,
2025年6月26日,76.0,1.58,29.96,21.0,5.0,13.0,新通联,7.0,2.0,73.0,61.0,22.0,
2025年6月25日,79.0,1.6,72.48,21.0,7.0,6.0,诺德股份,7.0,3.0,81.0,66.0,15.0,
2025年6月24日,83.0,1.41,88.25,14.0,6.0,23.0,诺德股份,7.0,18.0,81.0,71.0,17.0,
2025年6月23日,97.0,1.12,82.29,17.0,7.0,5.0,山东墨龙,7.0,0.0,83.0,71.0,15.0,
2025年6月20日,55.0,1.07,28.51,8.0,6.0,26.0,山东墨龙,6.0,12.0,79.0,44.0,12.0,
2025年6月19日,49.0,1.25,13.25,8.0,5.0,31.0,山东墨龙,5.0,12.0,71.0,34.0,14.0,
2025年6月18日,59.0,1.21,33.57,11.0,4.0,19.0,山东墨龙-贝肯能源,4.0,40.0,17.0,70.0,17.0,当时没记录
2025年6月17日,59.0,1.21,41.62,10.0,3.0,19.0,山东墨龙-贝肯能源,4.0,6.0,70.0,45.0,19.0,
2025年6月16日,77.0,1.22,65.91,17.0,4.0,5.0,元隆雅图,5.0,3.0,72.0,55.0,21.0,
2025年6月13日,67.0,1.47,15.73,8.0,5.0,30.0,北矿科技,5.0,5.0,84.0,53.0,11.0,
2025年6月12日,75.0,1.27,43.11,18.0,4.0,6.0,粤传媒-北矿科技,4.0,0.0,81.0,64.0,15.0,
2025年6月11日,69.0,1.26,63.25,10.0,4.0,20.0,昂利康-金鹰股份,7.0,3.0,64.0,50.0,28.0,
2025年6月10日,60.0,1.42,23.41,13.0,7.0,14.0,共创草坪,7.0,2.0,60.0,43.0,29.0,
2025年6月9日,86.0,1.29,76.5,13.0,6.0,3.0,共创草坪,6.0,2.0,64.0,64.0,36.0,
2025年6月6日,60.0,1.15,48.25,12.0,5.0,18.0,共享草坪,5.0,4.0,68.0,50.0,23.0,
2025年6月5日,83.0,1.29,49.68,12.0,4.0,13.0,共创草坪,5.0,5.0,74.0,65.0,23.0,
2025年6月4日,78.0,1.15,73.6,20.0,5.0,16.0,御银股份,5.0,6.0,74.0,71.0,25.0,
2025年6月3日,83.0,1.14,63,15.0,5.0,13.0,御银股份,5.0,16.0,68.0,67.0,31.0,
2025年5月30日,52.0,1.14,20.73,17.0,4.0,41.0,华森制药-德邦股份,6.0,16.0,66.0,41.0,21.0,
2025年5月29日,128.0,1.19,83.03,23.0,6.0,5.0,尚纬股份,6.0,5.0,87.0,106.0,16.0,
2025年5月28日,66.0,1.01,32.53,17.0,5.0,19.0,尚纬股份,5.0,3.0,71.0,57.0,23.0,
2025年5月27日,73.0,1.0,48.97,21.0,5.0,5.0,汇得科技,5.0,1.0,71.0,62.0,25.0,
2025年5月26日,84.0,1.01,70.47,10.0,4.0,2.0,汇得科技,4.0,1.0,73.0,61.0,23.0,
2025年5月23日,47.0,1.1,20.39,13.0,4.0,34.0,滨海能源,4.0,12.0,72.0,41.0,25.0,当时没记录
2025年5月22日,47.0,1.1,16.47,13.0,4.0,34.0,棕榈股份-浪莎股份-宜宾纸业-三生国健,5.0,12.0,60.0,40.0,27.0,
2025年5月21日,70.0,1.17,29.96,18.0,5.0,27.0,郑中设计-丽人丽妆,9.0,3.0,74.0,54.0,19.0,
2025年5月20日,100.0,1.16,71.13,28.0,4.0,288.0,郑中设计-丽人丽妆,9.0,8.0,72.0,75.0,29.0,
2025年5月19日,97.0,1.09,66.10,23.0,9.0,4.0,成飞集成,9.0,0.0,79.0,83.0,22.0,
2025年5月16日,70.0,1.09,55.69,15.0,8.0,12.0,成飞集成,8.0,3.0,67.0,56.0,28.0,
2025年5月15日,67.0,1.15,26.10,20.0,7.0,19.0,成飞集成,7.0,4.0,73.0,49.0,18.0,
2025年5月14日,83.0,1.32,43.18,17.0,6.0,4.0,成飞集成-利君股份,6.0,0.0,75.0,61.0,20.0,
2025年5月13日,59.0,1.29,36,11.0,5.0,8.0,成飞集成-利君股份-天箭科技,5.0,1.0,72.0,48.0,19.0,
2025年5月12日,69.0,1.31,76.30,8.0,5.0,4.0,春光科技,5.0,0.0,68.0,50.0,24.0,
2025年5月9日,44.0,1.19,22.51,12.0,4.0,20.0,华纺股份-春光科技-麒盛科技,4.0,4.0,57.0,33.0,25.0,
2025年5月8日,79.0,1.29,71.22,14.0,4.0,15.0,润贝航科-中超控股,6.0,4.0,74.0,65.0,23.0,
2025年5月7日,77.0,1.47,61.12,22.0,6.0,9.0,渝三峡A,6.0,0.0,59.0,64.0,45.0,
2025年5月6日,115.0,1.34,92.13%,18.0,5.0,3.0,渝三峡A,5.0,1.0,82.0,98.0,21.0,
